0 0 0 0 0 0
2 3 8 1 1 1
2 3 10 2 1 1
2 2 10 2 1 1
2 2 5 4 1 1
1 1 3 8 2 3
1 1 2 9 2 3
0 0 1 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
0 0 0 10 3 3
